dt,block
2021-05-01T00:00:00+00:00,12344945
2021-05-02T00:00:00+00:00,12351434
2021-05-03T00:00:00+00:00,12357852
2021-05-04T00:00:00+00:00,12364359
2021-05-05T00:00:00+00:00,12370863
2021-05-06T00:00:00+00:00,12377381
2021-05-07T00:00:00+00:00,12383847
2021-05-08T00:00:00+00:00,12390294
2021-05-09T00:00:00+00:00,12396780
2021-05-10T00:00:00+00:00,12403258
2021-05-11T00:00:00+00:00,12409775
2021-05-12T00:00:00+00:00,12416222
2021-05-13T00:00:00+00:00,12422661
2021-05-14T00:00:00+00:00,12429199
2021-05-15T00:00:00+00:00,12435676
2021-05-16T00:00:00+00:00,12442150
2021-05-17T00:00:00+00:00,12448608
2021-05-18T00:00:00+00:00,12455027
2021-05-19T00:00:00+00:00,12461490
2021-05-20T00:00:00+00:00,12467913
2021-05-21T00:00:00+00:00,12474376
2021-05-22T00:00:00+00:00,12480786
2021-05-23T00:00:00+00:00,12487248
2021-05-24T00:00:00+00:00,12493702
2021-05-25T00:00:00+00:00,12500189
2021-05-26T00:00:00+00:00,12506593
2021-05-27T00:00:00+00:00,12513024
2021-05-28T00:00:00+00:00,12519449
2021-05-29T00:00:00+00:00,12525912
2021-05-30T00:00:00+00:00,12532379
2021-05-31T00:00:00+00:00,12538796
2021-06-01T00:00:00+00:00,12545219
2021-06-02T00:00:00+00:00,12551697
2021-06-03T00:00:00+00:00,12558203
2021-06-04T00:00:00+00:00,12564607
2021-06-05T00:00:00+00:00,12571126
2021-06-06T00:00:00+00:00,12577560
2021-06-07T00:00:00+00:00,12584092
2021-06-08T00:00:00+00:00,12590523
2021-06-09T00:00:00+00:00,12596998
2021-06-10T00:00:00+00:00,12603435
2021-06-11T00:00:00+00:00,12609897
2021-06-12T00:00:00+00:00,12616351
2021-06-13T00:00:00+00:00,12622785
2021-06-14T00:00:00+00:00,12629258
2021-06-15T00:00:00+00:00,12635689
2021-06-16T00:00:00+00:00,12642194
2021-06-17T00:00:00+00:00,12648593
2021-06-18T00:00:00+00:00,12655065
2021-06-19T00:00:00+00:00,12661470
2021-06-20T00:00:00+00:00,12667896
2021-06-21T00:00:00+00:00,12674365
2021-06-22T00:00:00+00:00,12680681
2021-06-23T00:00:00+00:00,12687118
2021-06-24T00:00:00+00:00,12693547
2021-06-25T00:00:00+00:00,12699965
2021-06-26T00:00:00+00:00,12706307
2021-06-27T00:00:00+00:00,12712734
2021-06-28T00:00:00+00:00,12719182
2021-06-29T00:00:00+00:00,12725648
2021-06-30T00:00:00+00:00,12732054
2021-07-01T00:00:00+00:00,12738509
2021-07-02T00:00:00+00:00,12744859
2021-07-03T00:00:00+00:00,12751296
2021-07-04T00:00:00+00:00,12757713
2021-07-05T00:00:00+00:00,12764171
2021-07-06T00:00:00+00:00,12770590
2021-07-07T00:00:00+00:00,12777015
2021-07-08T00:00:00+00:00,12783405
2021-07-09T00:00:00+00:00,12789855
2021-07-10T00:00:00+00:00,12796261
2021-07-11T00:00:00+00:00,12802708
2021-07-12T00:00:00+00:00,12809131
2021-07-13T00:00:00+00:00,12815508
2021-07-14T00:00:00+00:00,12821815
2021-07-15T00:00:00+00:00,12828205
2021-07-16T00:00:00+00:00,12834632
2021-07-17T00:00:00+00:00,12840971
2021-07-18T00:00:00+00:00,12847328
2021-07-19T00:00:00+00:00,12853699
2021-07-20T00:00:00+00:00,12860134
2021-07-21T00:00:00+00:00,12866473
2021-07-22T00:00:00+00:00,12872887
2021-07-23T00:00:00+00:00,12879309
2021-07-24T00:00:00+00:00,12885655
2021-07-25T00:00:00+00:00,12892112
2021-07-26T00:00:00+00:00,12898513
2021-07-27T00:00:00+00:00,12904851
2021-07-28T00:00:00+00:00,12911128
2021-07-29T00:00:00+00:00,12917419
2021-07-30T00:00:00+00:00,12923775
2021-07-31T00:00:00+00:00,12930042
2021-08-01T00:00:00+00:00,12936340
2021-08-02T00:00:00+00:00,12942654
2021-08-03T00:00:00+00:00,12949050
2021-08-04T00:00:00+00:00,12955396
2021-08-05T00:00:00+00:00,12961718
2021-08-06T00:00:00+00:00,12968067
2021-08-07T00:00:00+00:00,12974518
2021-08-08T00:00:00+00:00,12981067
2021-08-09T00:00:00+00:00,12987563
2021-08-10T00:00:00+00:00,12994068
2021-08-11T00:00:00+00:00,13000575
2021-08-12T00:00:00+00:00,13006976
2021-08-13T00:00:00+00:00,13013486
2021-08-14T00:00:00+00:00,13019960
2021-08-15T00:00:00+00:00,13026460
2021-08-16T00:00:00+00:00,13032880
2021-08-17T00:00:00+00:00,13039380
2021-08-18T00:00:00+00:00,13045896
2021-08-19T00:00:00+00:00,13052295
2021-08-20T00:00:00+00:00,13058860
2021-08-21T00:00:00+00:00,13065319
2021-08-22T00:00:00+00:00,13071750
2021-08-23T00:00:00+00:00,13078271
2021-08-24T00:00:00+00:00,13084680
2021-08-25T00:00:00+00:00,13091189
2021-08-26T00:00:00+00:00,13097628
2021-08-27T00:00:00+00:00,13104132
2021-08-28T00:00:00+00:00,13110563
2021-08-29T00:00:00+00:00,13117023
2021-08-30T00:00:00+00:00,13123512
2021-08-31T00:00:00+00:00,13129984
2021-09-01T00:00:00+00:00,13136427
2021-09-02T00:00:00+00:00,13142882
2021-09-03T00:00:00+00:00,13149423
2021-09-04T00:00:00+00:00,13155889
2021-09-05T00:00:00+00:00,13162318
2021-09-06T00:00:00+00:00,13168847
2021-09-07T00:00:00+00:00,13175306
2021-09-08T00:00:00+00:00,13181723
2021-09-09T00:00:00+00:00,13188218
2021-09-10T00:00:00+00:00,13194684
2021-09-11T00:00:00+00:00,13201143
2021-09-12T00:00:00+00:00,13207539
2021-09-13T00:00:00+00:00,13214077
2021-09-14T00:00:00+00:00,13220489
2021-09-15T00:00:00+00:00,13226950
2021-09-16T00:00:00+00:00,13233404
2021-09-17T00:00:00+00:00,13239896
2021-09-18T00:00:00+00:00,13246363
2021-09-19T00:00:00+00:00,13252814
2021-09-20T00:00:00+00:00,13259322
2021-09-21T00:00:00+00:00,13265754
2021-09-22T00:00:00+00:00,13272250
2021-09-23T00:00:00+00:00,13278687
2021-09-24T00:00:00+00:00,13285098
2021-09-25T00:00:00+00:00,13291553
2021-09-26T00:00:00+00:00,13298126
2021-09-27T00:00:00+00:00,13304528
2021-09-28T00:00:00+00:00,13310982
2021-09-29T00:00:00+00:00,13317340
2021-09-30T00:00:00+00:00,13323752
2021-10-01T00:00:00+00:00,13330090
2021-10-02T00:00:00+00:00,13336575
2021-10-03T00:00:00+00:00,13342963
2021-10-04T00:00:00+00:00,13349326
2021-10-05T00:00:00+00:00,13355692
2021-10-06T00:00:00+00:00,13362103
2021-10-07T00:00:00+00:00,13368530
2021-10-08T00:00:00+00:00,13374854
2021-10-09T00:00:00+00:00,13381271
2021-10-10T00:00:00+00:00,13387620
2021-10-11T00:00:00+00:00,13393995
2021-10-12T00:00:00+00:00,13400377
2021-10-13T00:00:00+00:00,13406730
2021-10-14T00:00:00+00:00,13413050
2021-10-15T00:00:00+00:00,13419380
2021-10-16T00:00:00+00:00,13425698
2021-10-17T00:00:00+00:00,13432144
2021-10-18T00:00:00+00:00,13438529
2021-10-19T00:00:00+00:00,13444845
2021-10-20T00:00:00+00:00,13451285
2021-10-21T00:00:00+00:00,13457639
2021-10-22T00:00:00+00:00,13464126
2021-10-23T00:00:00+00:00,13470537
2021-10-24T00:00:00+00:00,13476885
2021-10-25T00:00:00+00:00,13483244
2021-10-26T00:00:00+00:00,13489662
2021-10-27T00:00:00+00:00,13496076
2021-10-28T00:00:00+00:00,13502421
2021-10-29T00:00:00+00:00,13508829
2021-10-30T00:00:00+00:00,13515197
2021-10-31T00:00:00+00:00,13521542
2021-11-01T00:00:00+00:00,13527859
2021-11-02T00:00:00+00:00,13534282
2021-11-03T00:00:00+00:00,13540590
2021-11-04T00:00:00+00:00,13546975
2021-11-05T00:00:00+00:00,13553257
2021-11-06T00:00:00+00:00,13559703
2021-11-07T00:00:00+00:00,13566042
2021-11-08T00:00:00+00:00,13572494
2021-11-09T00:00:00+00:00,13578840
2021-11-10T00:00:00+00:00,13585212
2021-11-11T00:00:00+00:00,13591594
2021-11-12T00:00:00+00:00,13597967
2021-11-13T00:00:00+00:00,13604388
2021-11-14T00:00:00+00:00,13610714
2021-11-15T00:00:00+00:00,13617059
2021-11-16T00:00:00+00:00,13623378
2021-11-17T00:00:00+00:00,13629632
2021-11-18T00:00:00+00:00,13636022
2021-11-19T00:00:00+00:00,13642394
2021-11-20T00:00:00+00:00,13648626
2021-11-21T00:00:00+00:00,13654921
2021-11-22T00:00:00+00:00,13661208
2021-11-23T00:00:00+00:00,13667575
2021-11-24T00:00:00+00:00,13673914
2021-11-25T00:00:00+00:00,13680218
2021-11-26T00:00:00+00:00,13686521
2021-11-27T00:00:00+00:00,13692739
2021-11-28T00:00:00+00:00,13699125
2021-11-29T00:00:00+00:00,13705381
2021-11-30T00:00:00+00:00,13711588
2021-12-01T00:00:00+00:00,13717847
2021-12-02T00:00:00+00:00,13724084
2021-12-03T00:00:00+00:00,13730330
2021-12-04T00:00:00+00:00,13736624
2021-12-05T00:00:00+00:00,13742801
2021-12-06T00:00:00+00:00,13749029
2021-12-07T00:00:00+00:00,13755302
2021-12-08T00:00:00+00:00,13761568
2021-12-09T00:00:00+00:00,13767793
2021-12-10T00:00:00+00:00,13774075
2021-12-11T00:00:00+00:00,13780502
2021-12-12T00:00:00+00:00,13786990
2021-12-13T00:00:00+00:00,13793513
2021-12-14T00:00:00+00:00,13799999
2021-12-15T00:00:00+00:00,13806390
2021-12-16T00:00:00+00:00,13812868
2021-12-17T00:00:00+00:00,13819265
2021-12-18T00:00:00+00:00,13825733
2021-12-19T00:00:00+00:00,13832241
2021-12-20T00:00:00+00:00,13838694
2021-12-21T00:00:00+00:00,13845239
2021-12-22T00:00:00+00:00,13851681
2021-12-23T00:00:00+00:00,13858107
2021-12-24T00:00:00+00:00,13864522
2021-12-25T00:00:00+00:00,13870990
2021-12-26T00:00:00+00:00,13877450
2021-12-27T00:00:00+00:00,13883917
2021-12-28T00:00:00+00:00,13890394
2021-12-29T00:00:00+00:00,13896836
2021-12-30T00:00:00+00:00,13903355
2021-12-31T00:00:00+00:00,13909787
2022-01-01T00:00:00+00:00,13916166
2022-01-02T00:00:00+00:00,13922672
2022-01-03T00:00:00+00:00,13929167
2022-01-04T00:00:00+00:00,13935628
2022-01-05T00:00:00+00:00,13942122
2022-01-06T00:00:00+00:00,13948582
2022-01-07T00:00:00+00:00,13954974
2022-01-08T00:00:00+00:00,13961397
2022-01-09T00:00:00+00:00,13967922
2022-01-10T00:00:00+00:00,13974427
2022-01-11T00:00:00+00:00,13980849
2022-01-12T00:00:00+00:00,13987376
2022-01-13T00:00:00+00:00,13993833
2022-01-14T00:00:00+00:00,14000271
2022-01-15T00:00:00+00:00,14006710
2022-01-16T00:00:00+00:00,14013196
